[2026-06-08 15:12:49,685] [CControlCore] STATUS | source=MPSTT | status=STT_READY
[2026-06-08 15:12:49,686] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:12:49,702] [CTextToSpeech] TextToSpeech initialized.
[2026-06-08 15:12:49,702] [CControlCore] STATUS | source=MPTTS | status=TTS_READY
[2026-06-08 15:12:49,741] [CGownClassifier] Gown classifier loaded: /home/yeonhu/PyRT/Data/Models/gown_classifier.pth
[2026-06-08 15:12:49,787] [CLLMManager] Loading LLM model: Qwen/Qwen2.5-1.5B-Instruct
[2026-06-08 15:12:49,963] [CZEDCameraModule] ZED camera open failed: CAMERA STREAM FAILED TO START
[2026-06-08 15:12:49,963] [CControlCore] ERROR | source=MPCamera | error=Camera open failed
[2026-06-08 15:12:50,269] [CPatientDetector] YOLO person detector loaded: /home/yeonhu/PyRT/Data/Models/yolov8n.pt
[2026-06-08 15:12:50,281] [CPatientDB] Patient DB loaded: 6 patients
[2026-06-08 15:12:50,357] [CROSCmdVelNode] ROSCmdVelNode started. topic=/cmd_vel
[2026-06-08 15:12:50,357] [CROSFollowNode] ROSFollowNode initialized.
[2026-06-08 15:12:50,366] [CROSNavigationNode] ROSNavigationNode initialized.
[2026-06-08 15:12:50,368] [CROSCmdVelNode] ROSCmdVelNode started. topic=/cmd_vel
[2026-06-08 15:12:50,368] [CROSHealthcareNode] ROSHealthcareNode initialized.
[2026-06-08 15:12:50,411] [CGownClassifier] Gown classifier loaded: /home/yeonhu/PyRT/Data/Models/gown_classifier.pth
[2026-06-08 15:12:50,452] [CPatientDetector] YOLO person detector loaded: /home/yeonhu/PyRT/Data/Models/yolov8n.pt
[2026-06-08 15:12:50,650] [CDoorDetector] Door detector loaded: /home/yeonhu/PyRT/Data/Models/door_yolov8n.pt
[2026-06-08 15:12:50,651] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_TASK_READY
[2026-06-08 15:12:50,678] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_STOPPED
